repo	seed	author	commits	commitShare	lines	lineShare	gap	filesSampled	filesTotal	authorsTotal
lukeautry/tsoa	a	WoH	248	0.160830	2298	0.139399	-0.021431	54	290	232
lukeautry/tsoa	a	Wolfgang Hobmaier	54	0.035019	1971	0.119563	0.084544	54	290	232
lukeautry/tsoa	a	Jeffrey Lembeck	5	0.003243	1468	0.089051	0.085808	54	290	232
lukeautry/tsoa	a	woh	21	0.013619	1411	0.085593	0.071974	54	290	232
lukeautry/tsoa	a	Dan Greene	75	0.048638	1069	0.064847	0.016209	54	290	232
lukeautry/tsoa	a	Isman Usoh	7	0.004540	1018	0.061753	0.057214	54	290	232
lukeautry/tsoa	a	Kriskit	20	0.012970	927	0.056233	0.043263	54	290	232
lukeautry/tsoa	a	Luke Autry	304	0.197147	805	0.048832	-0.148314	54	290	232
lukeautry/tsoa	a	simon	29	0.018807	713	0.043251	0.024445	54	290	232
lukeautry/tsoa	a	Clooooode	77	0.049935	456	0.027662	-0.022274	54	290	232
lukeautry/tsoa	a	Clooooode	8	0.005188	408	0.024750	0.019562	54	290	232
lukeautry/tsoa	a	WoH	41	0.026589	339	0.020564	-0.006025	54	290	232
lukeautry/tsoa	a	Nándor Németh	12	0.007782	318	0.019290	0.011508	54	290	232
lukeautry/tsoa	a	dependabot[bot]	69	0.044747	311	0.018866	-0.025881	54	290	232
lukeautry/tsoa	a	Mathias Falcon	7	0.004540	277	0.016803	0.012264	54	290	232
lukeautry/tsoa	a	Dmytro Borysovskyi	4	0.002594	206	0.012496	0.009902	54	290	232
lukeautry/tsoa	a	Isman Usoh	20	0.012970	172	0.010434	-0.002536	54	290	232
lukeautry/tsoa	a	Noam Okman	7	0.004540	168	0.010191	0.005652	54	290	232
lukeautry/tsoa	a	pclements12	1	0.000649	149	0.009039	0.008390	54	290	232
lukeautry/tsoa	a	Marcel Michelfelder	1	0.000649	144	0.008735	0.008087	54	290	232
lukeautry/tsoa	a	Clooooode	3	0.001946	123	0.007461	0.005516	54	290	232
lukeautry/tsoa	a	Christian Friedow	8	0.005188	98	0.005945	0.000757	54	290	232
lukeautry/tsoa	a	Valentin Touffet	23	0.014916	95	0.005763	-0.009153	54	290	232
lukeautry/tsoa	a	Christopher Fitzner	4	0.002594	66	0.004004	0.001410	54	290	232
lukeautry/tsoa	a	k.bagrov	5	0.003243	61	0.003700	0.000458	54	290	232
lukeautry/tsoa	a	simon	8	0.005188	59	0.003579	-0.001609	54	290	232
lukeautry/tsoa	a	Andrii Mozharovskyi	1	0.000649	55	0.003336	0.002688	54	290	232
lukeautry/tsoa	a	Jon Jensen	2	0.001297	51	0.003094	0.001797	54	290	232
lukeautry/tsoa	a	Daniel Seijo	1	0.000649	51	0.003094	0.002445	54	290	232
lukeautry/tsoa	a	John Conley	6	0.003891	45	0.002730	-0.001161	54	290	232
lukeautry/tsoa	a	Frank Prößdorf	18	0.011673	43	0.002608	-0.009065	54	290	232
lukeautry/tsoa	a	Ahmed Hekal	5	0.003243	40	0.002426	-0.000816	54	290	232
lukeautry/tsoa	a	Derek Rada	2	0.001297	38	0.002305	0.001008	54	290	232
lukeautry/tsoa	a	Connor	3	0.001946	36	0.002184	0.000238	54	290	232
lukeautry/tsoa	a	Juho Saarinen	1	0.000649	36	0.002184	0.001535	54	290	232
lukeautry/tsoa	a	kchobantonov	4	0.002594	33	0.002002	-0.000592	54	290	232
lukeautry/tsoa	a	Nathan Vecchiarelli	3	0.001946	33	0.002002	0.000056	54	290	232
lukeautry/tsoa	a	Roy Kakkenberg	2	0.001297	33	0.002002	0.000705	54	290	232
lukeautry/tsoa	a	Alden Quimby	8	0.005188	32	0.001941	-0.003247	54	290	232
lukeautry/tsoa	a	Josh Chappelow	19	0.012322	31	0.001880	-0.010441	54	290	232
lukeautry/tsoa	a	mrl5	6	0.003891	30	0.001820	-0.002071	54	290	232
lukeautry/tsoa	a	Audun Wigum Arbo	1	0.000649	30	0.001820	0.001171	54	290	232
lukeautry/tsoa	a	Mark Nevill	6	0.003891	28	0.001699	-0.002193	54	290	232
lukeautry/tsoa	a	Dominykas Valutis	4	0.002594	27	0.001638	-0.000956	54	290	232
lukeautry/tsoa	a	DjakaTechnology	7	0.004540	26	0.001577	-0.002962	54	290	232
lukeautry/tsoa	a	itamarco	2	0.001297	26	0.001577	0.000280	54	290	232
